"id","category_id","img","name","opentime","phone","life_add","life_add_url","branch"
0,1,"yellowChicken.png","노랑통닭","12:00~05:00","02-2291-0800","","","한양대점"
2,1,"","까분닭","12:00~24:00 / 명절휴무","02-2282-2256","","","null"
3,1,"neneChicken.png","네네치킨","12:00~01:00","02-2293-9282","","","한양대점"
4,1,"bhc.png","BHC치킨","11:00~01:00","02-2292-5588","","","한양대점"
5,1,"songuri.png","송유리 치킨&피자샵","11:00~01:00","02-2291-7720","","","null"
7,1,"michaChicken.png","미쳐버린파닭","15:00~02:00","02-2299-4420","","","한양대점"
8,2,"blackApgu.png","블랙 & 압구정","11:00~21:00","02-2281-0004","","","한양대점"
9,2,"","금룡","24시간","02-2293-7373","","","null"
10,2,"sinbukeung.png","신북경","10:00~21:00 / 일 휴무","02-2292-1170","","","null"
11,2,"","대연각","11:00~21:00","02-2281-8555","","","null"
12,3,"","피자랑","11:30~23:00","02-2294-7710","","","null"
13,3,"pizzaEthang.png","피자에땅","11:00~22:40","02-1688-3651","","","한양대점"
14,3,"ungusPizza.png","영구스피자","11:00~23:00","02-466-0909","","","성수점"
15,3,"mistPizza.png","미스터피자","11:00~22:00","02-2281-8112","","","한양대점"
16,3,"pizzaHeaven.png","피자헤븐","11:00~23:00","1577-7575","","","한양대점"
17,3,"pizzaGun.png","피자꾼","11:00~23:00","02-2216-9911","","","왕십리점"
18,4,"","학사회관","10:00~21:00","02-2296-4094","","","null"
22,4,"","밥샵","09:00~21:00","02-2295-8743","","","null"
23,4,"","한양촌","08:00~20:30","02-2293-5238","","","null"
24,5,"sinjunTTuk.png","신전떡볶이","11:00~22:00","02-2281-1178","","","행당점"
26,5,"","떡볶이&튀김","12:00~01:00","02-2299-8152","","","null"
27,5,"ypgiTTuk.png","엽기떡볶이","11:00~24:00","02-6053-8592","","","왕십리점"
29,5,"oopsTTuk.png","웁스떡볶이","12:00~24:00","02-6396-8282","","","왕십리점"
30,6,"dosmas.png","도스마스","10:00~20:00 / 주말배달X","010-8876-2481","","","왕십리점"
31,6,"mcdonald.png","맥도날드","24시간","02-1600-5252","","","한양대점"
32,7,"","귀족족발","14:00~02:00","02-2299-1616","","","null"
33,8,"","백양세탁소","08:00~21:00","02-2294-1832","서울시 성동구 마조로15가길 10","http://map.naver.com/?dlevel=12&pinType=site&pinId=17895523&x=127.0412432&y=37.5641173&enc=b64","null"
34,8,"","늘하얀세탁","10:00~20:00 / 일 휴무","02-2297-8272","서울시 성동구 마조로 71","http://map.naver.com/?dlevel=12&pinType=site&pinId=34350517&x=127.0415260&y=37.5641400&enc=b64","null"
35,8,"","크린에이드","10:00~21:00 / 일 휴무","02-2299-0009","서울시 성동구 마조로 54","http://map.naver.com/?dlevel=12&pinType=site&pinId=34352340&x=127.0418890&y=37.5625770&enc=b64","마장점"
