category,lifeinfo_name,img,branch,phone,openhour,address,address_url
8,백양세탁소,,"null",02-2294-1832,08:00~21:00,서울시 성동구 마조로15가길 10,http://map.naver.com/?dlevel=12&pinType=site&pinId=17895523&x=127.0412432&y=37.5641173&enc=b64
8,늘하얀세탁,,"null",02-2297-8272,10:00~20:00 / 일 휴무,서울시 성동구 마조로 71,http://map.naver.com/?dlevel=12&pinType=site&pinId=34350517&x=127.0415260&y=37.5641400&enc=b64
8,크린에이드,,"마장점",02-2299-0009,10:00~21:00 / 일 휴무,서울시 성동구 마조로 54,http://map.naver.com/?dlevel=12&pinType=site&pinId=34352340&x=127.0418890&y=37.5625770&enc=b64
8,이화세탁,,"null",02-2292-4494,08:30~22:00 / 일 휴무,서울시 성동구 마조로 11길 8,http://map.naver.com/?dlevel=12&pinType=site&pinId=18778618&x=127.0405375&y=37.5618750&enc=b64
8,coin wash24,,"null",,24시간,서울시 성동구 마조로 9길 11,http://map.naver.com/?dlevel=12&pinType=site&pinId=11477725&x=127.0402224&y=37.5611799&enc=b64
8,한나세탁,,"null",02-2299-7970,08:00~21:00 / 일 휴무,서울시 성동구 사근동 8길 11,http://map.naver.com/?dlevel=12&pinType=site&pinId=18774981&x=127.0468375&y=37.5601583&enc=b64
8,크린토피아,,"한양대점",02-2293-3863,09:30~20:30 / 공휴일 휴무,서울시 성동구 살곶이 8길 21,http://map.naver.com/?dlevel=12&pinType=site&pinId=31169108&x=127.0429080&y=37.5564763&enc=b64
9,세븐일레븐,,"행당미르점",070-8243-6017,24시간,서울시 성동구 마조로9길 11-1,http://map.naver.com/?dlevel=12&pinType=site&pinId=31873702&x=127.0401048&y=37.5611905&enc=b64
9,CU,,"마장금호점",,24시간,서울시 성동구 마조로15길 5,http://map.naver.com/?dlevel=12&pinType=site&pinId=31454682&x=127.0409361&y=37.5636290&enc=b64
9,위드미 마장금호점,,"마장금호점",,24시간,서울시 성동구 마조로55 116호,http://map.naver.com/?dlevel=12&pinType=site&pinId=18774872&x=127.0415580&y=37.5656040&enc=b64
9,CU,,"한양대 사랑점",,24시간,서울시 성동구 마조로 11길 3-1,http://map.naver.com/?dlevel=12&pinType=site&pinId=34300693&x=127.0410911&y=37.5616973&enc=b64
9,토마토편의점,,"null",,24시간,서울시 성동구 행당동 마조로7길 15-1,http://map.naver.com/?dlevel=12&pinType=site&pinId=18778674&x=127.0394406&y=37.5607203&enc=b64
9,오투24스토어,,"null",,24시간,서울시 성동구 행당동 마조로5길 4-16,http://map.naver.com/?dlevel=12&pinType=site&pinId=18776306&x=127.0408888&y=37.5606269&enc=b64
9,CU,,"왕십리점",,24시간,서울시 성동구 마조로1길 32,http://map.naver.com/?dlevel=12&pinType=site&pinId=21855884&x=127.0394720&y=37.5602880&enc=b64
9,GS25,,"null",,24시간,서울시 성동구 마조로 37,http://map.naver.com/?dlevel=12&pinType=site&pinId=18778447&x=127.0413030&y=37.5611500&enc=b64
9,GS25,,"한양대후문점",,24시간,서울시 성동구 사근동길 10,http://map.naver.com/?dlevel=12&pinType=site&pinId=21002939&x=127.0422050&y=37.5602420&enc=b64
